Author,Reviews,Location,Ratings,Review Title,Review Text,Date of Experience
Sahil Mansukh,1,GB,1,Last two times i will try to emergency…,Last two times i will try to emergency transfer to india but my money is stuck in moneygram app so i dnt like to use right now and i vll deleted my acount from ur applications.. sorry,2023-09-20
Belmira,1,GB,5,Was very good,"Was very good, and very quick I loved it👍🏽",2023-09-25
Stuart Crowe,22,GB,5,Easy to use and refunds if required…,Easy to use and refunds if required quick to be made.,2023-09-14
Mohammed Ateh,1,US,5,Thanks for the service,Thanks for the service  was amazing and delivered on time,2023-09-23
Mohamed,1,US,1,It was horrible,It was horrible. I sent $100 dollars to my brother account and until the moment he didn't receive it and the customer service didn't help me with my issue!,2023-09-18
Swarnika,6,GB,5,Swift verification and seamless smooth…,Swift verification and seamless smooth transfer. App was easy to use and steps didnt feel overwhelming.,2023-09-27
Wesley Jaworski,3,GB,5,Excellent quick and easy,No review text,2023-08-31
Mona J.,4,US,5,MoneyGram Makes My Life Easy,"I use MoneyGram as one of the ways to send money internationally to friends. It's easy, secure and I also receive discounts on fees when I reach a certain number of transfers! That's a nice perk!",2023-10-02
YOSSI ,2,NI,5,Easy to use,"Easy to use, great service, prompt, easy pickup and low cost to send money.",2023-09-03
Azemullah,1,US,5,Very good service,No review text,2023-10-02
Edvin,1,US,5,Precisely what I mean is the time frame…,"Precisely what I mean is the time frame is fast I like it , what I don’t like to much money charges are higher than usual I have been loyal customer I never got any help or discounts for all my transactions thank you",2023-09-05
Sayed Jabar,1,US,5,Honestly and fastly,No review text,2023-10-02
Customer,5,US,5,EASE OF USE OF THE ONLINE APP......,No review text,2023-10-01
Thobani,4,US,5,Easy and great way to send money,No review text,2023-09-12
Ivelina,1,GB,5,The best service,The best service. Big thanks.,2023-10-02
Khasan,1,US,5,Very good,Very good. Very fast,2023-10-02
Victor Polo,3,US,5,The transfers have been fast and…,The transfers have been fast and secure. Transfer costs are reasonably good.,2023-10-02
Ruth,1,US,5,Money gram is a professional company,No review text,2023-08-25
Killian,1,US,5,I sent money and forgot to put the…,I sent money and forgot to put the middle name of the receiver called money gram and the lady helped me with that it was fast and the receiver got the money in 3min,2023-10-01
Svetlana,1,US,5,Thank you very much!!!,No review text,2023-10-01
Jamie,1,US,5,Easy to send money,Very accurate service,2023-09-29
R Smith,1,US,5,"Simple, fast, and accurate","Transfers are simple, clear, and fair. I am able to utilize MoneyGram to get friends immediate assistance or payments.",2023-10-02
Jamal,1,GB,5,Good one to use,I will not write a lot.  But I will say .its a good company and so helpful and good . MoneyGram IS THE BEST,2023-10-02
Craig Kachadorian,4,US,5,Reliable and dependable,No review text,2023-10-02
Jerry Tofolo,8,GB,5,Prompt service,No review text,2023-09-08
