Date,Open,High,Low,Close,Adj Close,Volume
2022-03-22,735.000000,743.900024,723.049988,739.150024,734.064697,5010054
2022-03-23,747.950012,751.000000,731.799988,733.750000,728.701843,4698808
2022-03-24,733.000000,742.299988,731.000000,733.450012,728.403931,2914647
2022-03-25,737.000000,746.900024,730.049988,743.250000,738.136475,4003497
2022-03-28,747.000000,749.700012,726.549988,737.000000,731.929504,5691095
2022-03-29,741.000000,766.900024,738.049988,761.950012,756.707825,11423551
2022-03-30,768.799988,775.950012,762.099976,767.400024,762.120361,6913983
2022-03-31,767.400024,781.000000,765.500000,774.200012,768.873596,5468951
2022-04-01,774.500000,790.700012,774.500000,785.750000,780.344116,6816743
2022-04-04,791.000000,822.150024,783.650024,818.549988,812.918396,13743062
2022-04-05,840.000000,860.900024,826.000000,848.049988,842.215454,21090646
2022-04-06,852.950012,862.650024,840.000000,849.849976,844.003052,8785541
2022-04-07,850.000000,866.000000,813.599976,817.400024,811.776367,11662093
2022-04-08,823.000000,844.799988,817.400024,839.299988,833.525696,5777924
2022-04-11,840.000000,860.000000,839.299988,854.549988,848.670776,6030153
2022-04-12,853.900024,859.000000,835.000000,844.900024,839.087158,5597246
2022-04-13,849.900024,854.900024,836.500000,840.500000,834.717407,2955807
2022-04-18,831.349976,846.750000,821.400024,842.700012,836.902283,3969878
2022-04-19,849.000000,850.250000,807.000000,819.299988,813.663269,4472320
2022-04-20,825.599976,835.950012,820.000000,827.650024,821.955872,3071216
2022-04-21,833.000000,858.900024,832.299988,850.500000,844.648621,5539106
2022-04-22,847.450012,886.000000,840.700012,874.150024,868.135925,17864000
2022-04-25,873.950012,880.950012,848.650024,859.549988,853.636353,10145325
2022-04-26,868.000000,913.000000,865.400024,909.500000,903.242737,21010788
2022-04-27,914.049988,924.650024,880.000000,887.299988,881.195435,20793885
2022-04-28,899.000000,900.250000,876.799988,887.099976,880.996765,8778304
2022-04-29,892.700012,898.900024,852.099976,856.400024,850.508057,11543840
2022-05-02,850.000000,862.849976,838.049988,856.549988,850.656982,5760499
2022-05-04,860.500000,864.200012,805.799988,812.799988,807.208008,7969164
2022-05-05,820.900024,835.500000,806.000000,811.349976,805.767944,6597383
2022-05-06,797.900024,820.950012,790.200012,811.400024,805.817627,6150326
2022-05-09,807.450012,807.450012,783.000000,792.599976,787.146973,4768026
2022-05-10,795.200012,803.950012,765.049988,769.099976,763.808655,5344522
2022-05-11,771.000000,784.950012,749.049988,759.900024,754.671997,8985117
2022-05-12,759.000000,759.000000,705.299988,713.299988,708.392517,10570456
2022-05-13,727.000000,735.900024,701.799988,705.900024,701.043457,7247809
2022-05-16,715.000000,728.150024,704.000000,712.500000,707.598022,5606071
2022-05-17,720.000000,747.299988,715.349976,744.750000,739.626160,4430294
2022-05-18,752.650024,767.200012,742.000000,759.799988,754.572632,9020504
2022-05-19,744.000000,747.349976,730.000000,732.799988,727.758362,4445667
2022-05-20,749.950012,772.799988,745.099976,767.549988,762.269287,5434279
2022-05-23,774.849976,779.900024,751.250000,753.549988,748.365601,4787481
2022-05-24,756.599976,764.799988,747.500000,752.150024,746.975281,4653281
2022-05-25,735.000000,743.950012,705.400024,707.900024,703.029724,7699306
2022-05-26,712.000000,719.299988,668.150024,701.500000,696.673706,13569693
2022-05-27,714.099976,714.099976,697.000000,703.099976,698.262695,5815428
2022-05-30,714.000000,737.000000,710.000000,734.700012,729.645325,5546106
2022-05-31,731.099976,749.000000,728.000000,739.849976,734.759888,6346866
2022-06-01,739.799988,743.700012,729.049988,736.900024,731.830200,3196984
2022-06-02,737.000000,751.900024,730.250000,748.450012,743.300720,3536560
2022-06-03,758.000000,758.500000,738.750000,739.900024,734.809570,2960614
2022-06-06,738.500000,745.000000,725.299988,741.250000,736.150269,2753267
2022-06-07,739.000000,742.500000,713.400024,734.549988,729.496338,2488075
2022-06-08,735.549988,740.000000,725.349976,728.599976,723.587280,2839931
2022-06-09,726.000000,737.000000,723.099976,735.500000,730.439819,2604731
2022-06-10,726.000000,732.150024,718.200012,726.400024,721.402466,3377686
2022-06-13,711.000000,714.700012,688.799988,695.250000,690.466736,4535069
2022-06-14,695.400024,721.799988,693.549988,704.700012,699.851746,6144330
2022-06-15,710.900024,713.299988,701.599976,703.750000,698.908264,2447673
2022-06-16,711.950012,717.099976,677.000000,681.700012,677.009949,4301251
2022-06-17,677.000000,689.450012,663.000000,668.950012,664.347656,6103963
2022-06-20,671.000000,673.900024,653.099976,663.150024,658.587585,3507676
2022-06-21,670.500000,691.549988,667.099976,689.099976,684.359009,3313116
2022-06-22,684.900024,687.849976,665.549988,668.299988,663.702148,2964156
2022-06-23,672.700012,683.299988,666.200012,675.299988,670.653992,2762533
2022-06-24,683.000000,687.950012,677.099976,686.400024,681.677673,2740927
2022-06-27,698.000000,698.700012,684.900024,687.750000,683.018311,2711512
2022-06-28,681.000000,683.799988,670.250000,678.049988,673.385071,4596840
2022-06-29,675.000000,684.400024,667.000000,677.799988,673.136780,3332554
2022-06-30,680.549988,685.900024,666.599976,672.049988,667.426331,3502799
2022-07-01,670.000000,680.000000,656.000000,677.900024,673.236145,3151179
2022-07-04,679.849976,684.299988,673.099976,682.000000,677.307861,1874921
2022-07-05,686.450012,694.200012,676.950012,678.750000,674.080261,2472875
2022-07-06,678.000000,696.299988,677.150024,694.349976,689.572876,2634839
2022-07-07,701.000000,707.000000,695.000000,703.599976,698.759277,2896584
2022-07-08,709.900024,717.750000,706.549988,715.700012,710.776062,3880791
2022-07-11,715.000000,732.000000,713.049988,729.200012,724.183167,3814715
2022-07-12,729.000000,742.900024,726.349976,731.900024,726.864624,5846548
2022-07-13,737.049988,739.000000,724.349976,726.750000,721.750000,2373553
2022-07-14,729.000000,730.799988,716.549988,724.450012,724.450012,2859869
2022-07-15,737.700012,738.450012,726.099976,730.900024,730.900024,4127381
2022-07-18,736.950012,742.500000,732.599976,739.750000,739.750000,2403691
2022-07-19,736.950012,751.799988,734.049988,749.000000,749.000000,2864129
2022-07-20,756.950012,756.950012,741.900024,743.549988,743.549988,2176017
2022-07-21,747.700012,756.900024,741.200012,754.250000,754.250000,2639283
2022-07-22,757.650024,764.950012,751.549988,754.250000,754.250000,2854708
2022-07-25,757.000000,757.250000,746.049988,749.950012,749.950012,1592179
2022-07-26,749.900024,753.500000,745.000000,749.099976,749.099976,1803260
2022-07-27,748.700012,762.200012,747.049988,760.650024,760.650024,2539587
2022-07-28,763.650024,768.599976,757.650024,764.500000,764.500000,2696358
2022-07-29,769.000000,775.650024,758.849976,763.700012,763.700012,3182798
2022-08-01,770.000000,804.000000,765.049988,801.250000,801.250000,6459641
2022-08-02,800.849976,810.400024,795.000000,802.299988,802.299988,4393310
2022-08-03,802.799988,809.900024,795.349976,807.200012,807.200012,3326267
2022-08-04,811.049988,820.500000,796.500000,807.250000,807.250000,4641779
2022-08-05,811.099976,818.700012,805.500000,810.250000,810.250000,2807602
2022-08-08,812.900024,823.000000,795.349976,801.650024,801.650024,7519923
2022-08-10,803.000000,808.000000,778.299988,790.549988,790.549988,5541103
2022-08-11,794.700012,799.900024,788.299988,792.750000,792.750000,2140171
2022-08-12,793.500000,799.700012,785.500000,788.349976,788.349976,2281608
2022-08-16,792.299988,826.000000,791.150024,824.150024,824.150024,6820860
2022-08-17,827.349976,831.950012,821.150024,824.750000,824.750000,3694850
2022-08-18,824.750000,836.450012,820.450012,833.049988,833.049988,3836669
2022-08-19,837.250000,883.900024,833.950012,871.799988,871.799988,24506694
2022-08-22,876.200012,891.900024,837.349976,840.250000,840.250000,14693558
2022-08-23,835.799988,857.200012,806.099976,832.500000,832.500000,13515300
2022-08-24,830.250000,838.150024,817.099976,836.299988,836.299988,6558722
2022-08-25,840.500000,842.349976,812.299988,816.000000,816.000000,6287921
2022-08-26,821.000000,845.000000,817.650024,837.700012,837.700012,8513113
2022-08-29,815.099976,844.599976,815.000000,836.400024,836.400024,6652807
2022-08-30,844.000000,860.599976,838.700012,842.150024,842.150024,9490984
2022-09-01,841.799988,846.549988,831.349976,837.799988,837.799988,3888408
2022-09-02,842.000000,860.900024,838.049988,851.950012,851.950012,8840020
2022-09-05,854.950012,864.900024,848.200012,850.900024,850.900024,5434684
2022-09-06,854.700012,858.549988,844.049988,850.349976,850.349976,3380947
2022-09-07,847.000000,878.750000,845.099976,874.900024,874.900024,8930248
2022-09-08,880.599976,888.400024,867.000000,885.049988,885.049988,7943521
2022-09-09,888.799988,925.000000,887.000000,906.849976,906.849976,18369177
2022-09-12,914.700012,942.000000,911.000000,938.500000,938.500000,12571292
